page,family,asset_name,reference,power,outlier,manufacturer,asset_diagram
189,,Rotor,C4362,,,CoFimco,True
192,17,Three-phase Induction Motor - Squirrel Cage,175132/2011,30 kW,,WEG Indústrias S.A.,False
